category,cp_series_id,cvm_series_id
Food,A2302219R,A2303246R
Cigarettes and tobacco,A2302220X,A2303248V
Alcoholic beverages,A2302221A,A2303250F
Clothing and footwear,A2302222C,A2303252K
Rent and other dwelling services,A2302223F,A2303254R
"Electricity, gas and other fuel",A2302224J,A2303256V
Furnishings and household equipment,A2302225K,A2303258X
Health,A2302226L,A2303260K
Transport,A2302229V,A2303266X
Communications,A2302230C,A2303268C
Recreation and culture,A2302231F,A2303270R
Education services,A2302232J,A2303272V
"Hotels, cafes and restaurants",A2302233K,A2303274X
Insurance and other financial services,A2302234L,A2303276C
Other goods and services,A2302235R,A2303278J
