date,Ambiguous,Demand,Supply,Total_Q,Demand_YoY,Supply_YoY,Ambiguous_YoY,Total_YoY,CPI_YoY
2018-06-01,0,0,0,0,0,0,0,0,NA
2018-09-01,0,0,0,0,0,0,0,0,NA
2018-12-01,0,0,0,0,0,0,0,0,NA
2019-03-01,0,0,0,0,0,0,0,0,NA
2019-06-01,0,0,0,0,0,0,0,0,NA
2019-09-01,0,0,0,0,0,0,0,0,NA
2019-12-01,0,0,0,0,0,0,0,0,NA
2020-03-01,0,0,0,0,0,0,0,0,NA
2020-06-01,0,0,0,0,0,0,0,0,NA
2020-09-01,0,0,0,0,0,0,0,0,NA
2020-12-01,0,0,0,0,0,0,0,0,NA
2021-03-01,0,0,0,0,0,0,0,0,NA
2021-06-01,0,0,0,0,0,0,0,0,NA
2021-09-01,0,0,0,0,0,0,0,0,NA
2021-12-01,0,0,0,0,0,0,0,0,NA
2022-03-01,0,0,0,0,0,0,0,0,NA
2022-06-01,0,0,0,0,0,0,0,0,NA
2022-09-01,0,0,0,0,0,0,0,0,NA
2022-12-01,0,0,0,0,0,0,0,0,NA
2023-03-01,0,0,0,0,0,0,0,0,NA
2023-06-01,0,0,0,0,0,0,0,0,NA
2023-09-01,0,0,0,0,0,0,0,0,NA
2023-12-01,0,0,0,0,0,0,0,0,NA
2024-03-01,0,0,0,0,0,0,0,0,NA
2024-06-01,0.1298078454189125,0.4004079006730648,-0.17259007752622316,0.3576256685657542,0.4004079006730648,-0.17259007752622316,0.1298078454189125,0.3576256685657542,NA
2024-09-01,0,0.07007190343345499,-0.01982762103840775,0.05024428239504723,0.4704798041065198,-0.1924176985646309,0.1298078454189125,0.4078699509608014,NA
2024-12-01,0,-0.07672929511844588,0.7328756134870115,0.6561463183685656,0.3937505089880739,0.5404579149223806,0.1298078454189125,1.064016269329367,NA
2025-03-01,-0.0031660611603866505,0.029291850555813417,0.28246737474673334,0.3085931641421601,0.42304235954388736,0.8229252896691139,0.12664178425852585,1.372609433471527,NA
2025-06-01,0.05179372197309433,-0.006647154640182787,0.08460291445470404,0.12974948178761558,0.015987304230639737,1.0801182816500412,0.048627660812707675,1.1447332466933886,NA
2025-09-01,-0.005868294134593095,0.26203582310436546,0.2066865085556362,0.46285403752540855,0.20795122390155021,1.306632411244085,0.042759366678114585,1.5573430018237497,NA
